Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,3.74,Alfred A. Knopf,Hardcover,340,2021,2021,,2021/10/28,to-read,to-read (#47),to-read,,,,0,0
27276429,Playing Dead: A Journey Through the World of Death Fraud,Elizabeth  Greenwood,"Greenwood, Elizabeth",,"=""1476739331""","=""9781476739335""",3,3.44,Simon & Schuster,Hardcover,272,2016,2016,2021/10/25,2016/08/10,audiobooks-listened,audiobooks-listened (#108),audiobooks-listened,,,,1,0
50892366,Something That May Shock and Discredit You (A Collection of Essays and Observations),Daniel M. Lavery,"Lavery, Daniel M.",Daniel Mallory Ortberg,"=""1982105224""","=""9781982105228""",0,3.85,Washington Square Press,Paperback,238,2020,2020,,2021/02/14,couldn-t-finish,couldn-t-finish (#22),couldn-t-finish,,,,0,0
7624594,The Tiger: A True Story of Vengeance and Survival,John Vaillant,"Vaillant, John",,"=""0307268934""","=""9780307268938""",0,4.07,Knopf,Hardcover,329,2010,2010,,2020/11/03,couldn-t-finish,couldn-t-finish (#21),couldn-t-finish,,,,0,0
58914163,Black Me Out: Words + Music,Laura Jane Grace,"Grace, Laura Jane",,"=""""","=""""",3,4.36,,Audible Audio,,2021,,2021/10/06,2021/10/07,audiobooks-listened,audiobooks-listened (#107),audiobooks-listened,,,,1,0
13240536,Carry the One,Carol Anshaw,"Anshaw, Carol",,"=""145163689X""","=""9781451636895""",3,3.12,Simon  Schuster,Kindle Edition,274,2012,2012,2021/10/07,2014/01/04,,,read,,,,1,0
56852407,Billy Summers,Stephen        King,"King, Stephen",,"=""1982173610""","=""9781982173616""",3,4.19,Scribner,Hardcover,517,2021,2021,2021/09/30,2021/10/04,audiobooks-listened,audiobooks-listened (#106),audiobooks-listened,,,,1,0
20603758,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""""","=""""",3,4.23,Ballantine Books,Kindle Edition,386,2011,2011,2021/09/15,2018/05/04,,,read,,,,1,0
25111109,Avenue of Mysteries,John Irving,"Irving, John",,"=""1451664168""","=""9781451664164""",0,3.27,Simon & Schuster,Hardcover,460,2015,2015,,2021/03/27,couldn-t-finish,couldn-t-finish (#20),couldn-t-finish,,,,0,0
46041168,Hurricane Season,Fernanda Melchor,"Melchor, Fernanda",Sophie Hughes,"=""0811228037""","=""9780811228039""",2,4.05,New Directions,Hardcover,224,2020,2017,2021/05/27,2021/03/11,audiobooks-listened,audiobooks-listened (#105),audiobooks-listened,,,,1,0
29496076,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,"=""0385534256""","=""9780385534253""",2,4.14,Doubleday,ebook,359,2017,2017,,2017/05/10,,,read,,,,1,0
968,"The da Vinci Code (Robert Langdon, #2)",Dan    Brown,"Brown, Dan",,"=""""","=""""",3,3.93,Anchor,Paperback,489,2006,2003,,2021/07/29,,,read,,,,1,0
390711,"Noble House (Asian Saga, #5)",James Clavell,"Clavell, James",,"=""""","=""""",5,4.27,Dell,Mass Market Paperback,1376,1986,1981,,2021/04/21,,,read,,,,1,0
9827,"King Rat (Asian Saga, #4)",James Clavell,"Clavell, James",,"=""0385333765""","=""9780385333764""",4,4.19,Dell,Paperback,368,2009,1962,,2021/04/21,,,read,,,,1,0
22086795,A Sudden Light,Garth Stein,"Stein, Garth",,"=""1439187053""","=""9781439187050""",3,3.65,Simon & Schuster,Kindle Edition,320,2014,2014,2021/07/18,2021/07/16,,,read,,,,1,0
18142735,"Caliban's War (Expanse, #2)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.39,Orbit,Kindle Edition,583,2012,2012,2021/07/29,2021/07/18,,,read,,,,1,0
35952871,"You Think It, I'll Say It",Curtis Sittenfeld,"Sittenfeld, Curtis",,"=""0399592865""","=""9780399592867""",3,3.64,Random House,Hardcover,226,2018,2017,2021/07/28,2019/01/10,,,read,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",4,3.99,Viking,Hardcover,288,2020,2020,2021/06/28,2021/07/07,,,read,,,,1,0
24004398,The Book of Negroes,Lawrence Hill,"Hill, Lawrence",,"=""0393351572""","=""9780393351576""",3,4.47,W. W. Norton & Company,Kindle Edition,510,2015,2007,2021/06/20,2021/04/21,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",4,4.50,Ballantine Books,Hardcover,476,2021,2021,2021/06/21,2021/05/30,audiobooks-listened,audiobooks-listened (#104),audiobooks-listened,,,,1,0
26892110,The Library at Mount Char,Scott  Hawkins,"Hawkins, Scott",,"=""0553418629""","=""9780553418620""",4,4.08,Crown,Paperback,390,2016,2015,2021/06/07,2021/05/28,audiobooks-listened,audiobooks-listened (#103),audiobooks-listened,,,,2,0
54206236,Summer of Stolen Secrets,Julie  Sternberg,"Sternberg, Julie",,"=""""","=""""",4,4.01,Viking,Unknown Binding,,2021,2021,2021/05/30,2021/05/30,,,read,,,,1,0
75288,"King's Captain (Alan Lewrie, #9)",Dewey Lambdin,"Lambdin, Dewey",,"=""0312305087""","=""9780312305086""",3,4.19,St. Martin's Griffin,Paperback,358,2002,2000,2021/05/24,2021/05/27,,,read,,,,1,0
386280,Cold Mountain,Charles Frazier,"Frazier, Charles",,"=""0375700757""","=""9780375700750""",0,3.89,Vintage,Paperback,449,1998,1997,,2021/04/21,,,read,,,,1,0
12658,Hawaii,James A. Michener,"Michener, James A.",Steve Berry,"=""0375760377""","=""9780375760372""",0,4.22,Dial Press Trade Paperback,Paperback,937,2002,1959,,2021/04/20,to-read,to-read (#46),to-read,,,,0,0
53122391,A Children's Bible,Lydia Millet,"Millet, Lydia",,"=""1324005033""","=""9781324005032""",4,3.72,W. W. Norton  Company,Hardcover,224,2020,2020,2021/04/01,2021/03/11,audiobooks-listened,audiobooks-listened (#102),audiobooks-listened,,,,1,0
24694116,A Year Without Mom,Dasha Tolstikova,"Tolstikova, Dasha",,"=""1554986923""","=""9781554986927""",4,3.59,Groundwood Books,Hardcover,176,2015,2015,2021/03/27,2021/03/27,the-kids-shelf,the-kids-shelf (#29),the-kids-shelf,,,,1,0
